filename,compound_name,area,compound_name_IS,area_IS,bmis_area,result_column
230810_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",2462105856.0,"Arsenobetaine, 13C2",620907264.0,3.9653358862942856,2559680031.9212418
230810_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",2448636672.0,"Arsenobetaine, 13C2",659452864.0,3.7131337289938586,2396879995.6668973
230810_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",2671509760.0,"Arsenobetaine, 13C2",680675200.0,3.9247937342215495,2533509503.0965886
230810_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2366303232.0,"Arsenobetaine, 13C2",684657984.0,3.4561829224210143,2231014639.583477
230810_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",1973884672.0,"Arsenobetaine, 13C2",587306048.0,3.3609132388842693,2169516720.216965
230810_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",2706666752.0,"Arsenobetaine, 13C2",643327872.0,4.207289734836795,2715864640.8723726
230810_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",2424187648.0,"Arsenobetaine, 13C2",686512256.0,3.53116441376394,2279416245.817527
230810_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",2905317120.0,"Arsenobetaine, 13C2",654315008.0,4.44024221434334,2866238739.6316805
230810_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",2876896000.0,"Arsenobetaine, 13C2",601826368.0,4.780275762194587,3085735172.613948
230810_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",2915152384.0,"Arsenobetaine, 13C2",633646784.0,4.60059524897707,2969748876.623761
230810_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",2493400064.0,"Arsenobetaine, 13C2",760615872.0,3.2781330968596984,2116080975.388318
230810_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",3219306496.0,"Arsenobetaine, 13C2",619637376.0,5.195468544492707,3353747947.5013485
230810_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2589378048.0,"Arsenobetaine, 13C2",647447424.0,3.9993641985669557,2581645785.6283593
230810_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",2254413312.0,"Arsenobetaine, 13C2",646248128.0,3.488463972773009,2251852511.1698523
230810_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",2169010176.0,"Arsenobetaine, 13C2",600972160.0,3.6091691435423563,2329769394.9415016
230810_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",53995532.0,"Arsenobetaine, 13C2",6988559.0,7.726275473956791,4987419381.083498
230810_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",57044316.0,"Arsenobetaine, 13C2",6944015.0,8.214889512767469,5302826608.698935
230810_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",68687640.0,"Arsenobetaine, 13C2",6058090.0,11.338167640295868,7318946525.5017395
230810_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",1727633408.0,"Arsenobetaine, 13C2",448062304.0,3.855788341435659,2488965552.451844
230810_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",1450874496.0,"Arsenobetaine, 13C2",365337984.0,3.9713212409909175,2563543662.478716
230810_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",1424856832.0,"Arsenobetaine, 13C2",331724640.0,4.295299957217528,2772676476.0592875
230810_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",1795715200.0,"Arsenobetaine, 13C2",1306156.0,1374.8091345903551,887458613954.2705
230810_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",1852218368.0,"Arsenobetaine, 13C2",559955.0,3307.798605245064,2135230477884.001
230810_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",1688234624.0,"Arsenobetaine, 13C2",83238.0,20282.018116725532,13092327678945.666
230810_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",3311556352.0,"Arsenobetaine, 13C2",475304320.0,6.967233859772199,4497447353.760166
230810_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",3288509440.0,"Arsenobetaine, 13C2",398731968.0,8.247418576681566,5323824576.524509
230810_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",3359196416.0,"Arsenobetaine, 13C2",391831840.0,8.57305627842801,5534028288.5687
230810_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",2043442688.0,"Arsenobetaine, 13C2",517286688.0,3.9503098289666405,2549980500.7836614
230810_Std_H2OinMatrix_2,"Glycine betaine 0(15N), 0(13C)",1617281152.0,"Arsenobetaine, 13C2",392321088.0,4.122340606885756,2661028785.1515594
230810_Std_H2OinMatrix_3,"Glycine betaine 0(15N), 0(13C)",1606880256.0,"Arsenobetaine, 13C2",385087424.0,4.172767418133083,2693580000.3637137
230810_Blk_G5_NFEX_T24_NH4_Blk_A,"Glycine betaine 0(15N), 1(13C)",3404980.0,"Arsenobetaine, 13C2",591801344.0,0.005753586122305258,3714020.686143447
230810_Blk_G5_NFEX_T24_NH4_Blk_B,"Glycine betaine 0(15N), 1(13C)",5319937.0,"Arsenobetaine, 13C2",688531712.0,0.007726495246743261,4987561.247505212
230810_Blk_G5_NFEX_T24_NO3_Blk_A,"Glycine betaine 0(15N), 1(13C)",4611714.0,"Arsenobetaine, 13C2",709285440.0,0.0065019155052724615,4197077.817697356
230810_Blk_G5_NFEX_T24_Urea_Blk_A,"Glycine betaine 0(15N), 1(13C)",11693314.0,"Arsenobetaine, 13C2",634969408.0,0.018415554911269047,11887499.45396838
230810_Poo_G5_NFEX_Full1,"Glycine betaine 0(15N), 1(13C)",144435904.0,"Arsenobetaine, 13C2",690919680.0,0.20904876236844203,134943913.4732199
230810_Poo_G5_NFEX_Full10,"Glycine betaine 0(15N), 1(13C)",139819680.0,"Arsenobetaine, 13C2",618674368.0,0.22599882463532092,145885416.83345547
230810_Poo_G5_NFEX_Full11,"Glycine betaine 0(15N), 1(13C)",137780576.0,"Arsenobetaine, 13C2",609712896.0,0.22597615517714095,145870783.37966955
