filename,compound_name,area,compound_name_IS,area_IS,bmis_area,result_column
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",4548313.0,"Arsenobetaine, 13C2",559022080.0,0.008136195622183654,4010233.4775804044
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",4844575.0,"Arsenobetaine, 13C2",70112584.0,0.06909708248664748,34057125.25342641
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",30524096.0,"Arsenobetaine, 13C2",90853392.0,0.33597090133959995,165596037.58437192
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Glycine betaine 0(15N), 0(13C)",301626.0,"Arsenobetaine, 13C2",434566688.0,0.0006940844945758935,342105.9430808869
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Glycine betaine 0(15N), 0(13C)",10359510.0,"Arsenobetaine, 13C2",480006560.0,0.021582017545760206,10637518.232692959
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Glycine betaine 0(15N), 0(13C)",5465461.0,"Arsenobetaine, 13C2",587541248.0,0.009302259234742273,4584972.280974108
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Glycine betaine 0(15N), 0(13C)",198689264.0,"Arsenobetaine, 13C2",487455264.0,0.40760512538028515,200903689.55443987
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Glycine betaine 0(15N), 0(13C)",381306.0,"Arsenobetaine, 13C2",485997216.0,0.0007845847413249379,386712.4319235065
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Glycine betaine 0(15N), 0(13C)",10290348.0,"Arsenobetaine, 13C2",499691232.0,0.020593413173997818,10150246.965896668
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Glycine betaine 0(15N), 0(13C)",2526102.0,"Arsenobetaine, 13C2",712077376.0,0.0035475105446967606,1748525.5036916467
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Glycine betaine 0(15N), 0(13C)",167618112.0,"Arsenobetaine, 13C2",513547616.0,0.3263925423421691,160874979.03373307
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 0(13C)",5188278.0,"Arsenobetaine, 13C2",716382528.0,0.007242329059147574,3569657.343225493
230831_Smp_LabBlk_1_A,"Glycine betaine 0(15N), 0(13C)",17519428.0,"Arsenobetaine, 13C2",711021760.0,0.0246397916148164,12144658.486938141
230831_Smp_LabBlk_1_B,"Glycine betaine 0(15N), 0(13C)",6118853.0,"Arsenobetaine, 13C2",570633344.0,0.010722915273594667,5285196.645245672
230831_Smp_LabBlk_1_C,"Glycine betaine 0(15N), 0(13C)",7633273.0,"Arsenobetaine, 13C2",114135320.0,0.06687914836529131,32963932.061232343
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 0(15N), 0(13C)",29565426.0,"Arsenobetaine, 13C2",147279232.0,0.20074402615027215,98944328.71023291
230831_Smp_LabBlk_2_A,"Glycine betaine 0(15N), 0(13C)",38384688.0,"Arsenobetaine, 13C2",557090688.0,0.06890204562169956,33960993.91619014
230831_Smp_LabBlk_2_B,"Glycine betaine 0(15N), 0(13C)",39654992.0,"Arsenobetaine, 13C2",518793088.0,0.07643700912221868,37674887.27437593
230831_Smp_LabBlk_2_C,"Glycine betaine 0(15N), 0(13C)",82056864.0,"Arsenobetaine, 13C2",584497600.0,0.14038870989376176,69195915.441766
230831_Smp_LabBlk_3_A,"Glycine betaine 0(15N), 0(13C)",110168536.0,"Arsenobetaine, 13C2",775827968.0,0.14200124324468796,69990713.8374643
230831_Smp_LabBlk_3_B,"Glycine betaine 0(15N), 0(13C)",4486878.0,"Arsenobetaine, 13C2",397839808.0,0.011278102165181016,5558841.621637702
230831_Smp_LabBlk_3_C,"Glycine betaine 0(15N), 0(13C)",5213535.0,"Arsenobetaine, 13C2",630584064.0,0.008267787433334187,4075093.5068811346
230831_Smp_LabBlk_4_A,"Glycine betaine 0(15N), 0(13C)",4332889.0,"Arsenobetaine, 13C2",414495904.0,0.010453394009895934,5152352.839025296
230831_Smp_LabBlk_4_B,"Glycine betaine 0(15N), 0(13C)",4945201.0,"Arsenobetaine, 13C2",700177984.0,0.007062777055269421,3481158.30874363
230831_Smp_LabBlk_4_C,"Glycine betaine 0(15N), 0(13C)",12894416.0,"Arsenobetaine, 13C2",431133408.0,0.02990818099626369,14741384.580003573
230831_Smp_LabBlk_5_A,"Glycine betaine 0(15N), 0(13C)",12799174.0,"Arsenobetaine, 13C2",599342976.0,0.02135534161995418,10525792.38090169
230831_Smp_LabBlk_5_B,"Glycine betaine 0(15N), 0(13C)",2194029.0,"Arsenobetaine, 13C2",480739008.0,0.0045638672200280445,2249475.5488777445
230831_Smp_LabBlk_5_C,"Glycine betaine 0(15N), 0(13C)",2022220.0,"Arsenobetaine, 13C2",555105792.0,0.0036429452352030223,1795564.1208246034
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 0(15N), 0(13C)",1220050.0,"Arsenobetaine, 13C2",9495498.0,0.12848720519976942,63329806.17230635
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 0(15N), 0(13C)",770926.0,"Arsenobetaine, 13C2",8387652.0,0.0919120154245789,45302332.73184355
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 0(15N), 0(13C)",471850.0,"Arsenobetaine, 13C2",443868.0,1.0630412645200826,523960320.6447602
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 0(15N), 0(13C)",913051.0,"Arsenobetaine, 13C2",394202528.0,0.0023161977286964533,1141626.148588263
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 0(15N), 0(13C)",2645996.0,"Arsenobetaine, 13C2",321432032.0,0.008231898929102375,4057404.492529231
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 0(15N), 0(13C)",1371475.0,"Arsenobetaine, 13C2",321553472.0,0.004265153759558845,2102243.2581359483
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 0(15N), 0(13C)",2196653824.0,"Arsenobetaine, 13C2",46186.0,47561.032001039275,23442263634714.676
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 0(15N), 0(13C)",2208470272.0,"Arsenobetaine, 13C2",44724.0,49379.98103926304,24338801853044.766
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 0(15N), 0(13C)",2338746624.0,"Arsenobetaine, 13C2",134040.0,17448.124619516562,8599971868842.653
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 0(15N), 0(13C)",2000539648.0,"Arsenobetaine, 13C2",380272256.0,5.260808845334223,2592989737.5117707
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 0(15N), 0(13C)",2554297.0,"Arsenobetaine, 13C2",340778688.0,0.007495471665176432,3694428.3050409886
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 0(15N), 0(13C)",2426460672.0,"Arsenobetaine, 13C2",347793856.0,6.976720922867597,3438742270.6916513
230831_Std_H2OinMatrix_1,"Glycine betaine 0(15N), 0(13C)",1229010.0,"Arsenobetaine, 13C2",370845056.0,0.003314079506024209,1633470.137589253
